id,name,group_id,soloist_id,type,language,release_date,cover_path,palette,is_published,created_at
1,FEARLESS,1,,Mini Album,Korean,2022-05-02,/images/albums/fearless.jpg,,true,2026-06-21
2,ANTIFRAGILE,1,,Mini Album,Korean,2022-10-17,/images/albums/antifragile.jpg,,true,2026-06-21
3,UNFORGIVEN,1,,Studio Album,Korean,2023-05-01,/images/albums/unforgiven.jpg,,true,2026-06-21
4,Perfect Night,1,,Single,Korean,2023-10-27,/images/albums/perfect_night.jpg,,true,2026-06-21
5,EASY,1,,Mini Album,Korean,2024-02-19,/images/albums/easy.jpg,,true,2026-06-21
6,CRAZY,1,,Mini Album,Korean,2024-08-30,/images/albums/crazy.jpg,,true,2026-06-21
7,Star Signs,1,,Single,Korean,2024-11-13,/images/albums/star_signs.jpg,,true,2026-06-21
8,HOT,1,,Mini Album,Korean,2025-03-14,/images/albums/hot.jpg,,true,2026-06-21
9,Different,1,,Single,Korean,2025-06-24,/images/albums/different.jpg,,true,2026-06-21
10,Spaghetti,1,,Single,Korean,2025-10-24,/images/albums/spaghetti.jpg,,true,2026-06-21
11,CELEBRATION,1,,Single,Korean,2026-04-24,/images/albums/celebration.jpg,,true,2026-06-21
12,PUREFLOW pt.1,1,,Studio Album,Korean,2026-05-22,/images/albums/pureflow.jpg,,true,2026-06-21
13,COLOR*IZ,2,,Mini Album,Korean,2018-10-29,/images/albums/color_iz.jpg,,true,2026-06-21
14,HEART*IZ,2,,Mini Album,Korean,2019-04-01,/images/albums/heart_iz.jpg,,true,2026-06-21
15,BLOOM*IZ,2,,Studio Album,Korean,2020-02-17,/images/albums/bloom_iz.jpg,,true,2026-06-21
16,Oneiric Diary,2,,Mini Album,Korean,2020-06-15,/images/albums/oneiric_diary.jpg,,true,2026-06-21
17,Twelve,2,,Mini Album,Japanese,2020-10-21,/images/albums/twelve.jpg,,true,2026-06-21
18,One-reeler / Act IV,2,,Mini Album,Korean,2020-12-07,/images/albums/one_reeler_act_iv.jpg,,true,2026-06-21
19,Black Mamba,3,,Single,Korean,2020-11-17,/images/albums/black_mamba.jpg,,true,2026-06-21
20,Forever,3,,Single,Korean,2021-02-05,/images/albums/forever.jpg,,true,2026-06-21
21,Next Level,3,,Single,Korean,2021-05-17,/images/albums/next_level.jpg,,true,2026-06-21
22,Savage,3,,Mini Album,Korean,2021-10-05,/images/albums/savage.jpg,,true,2026-06-21
23,Illusion,3,,Single,Korean,2022-06-01,/images/albums/illusion.jpg,,true,2026-06-21
24,Girls,3,,Mini Album,Korean,2022-07-08,/images/albums/girls.jpg,,true,2026-06-21
25,MY WORLD,3,,Mini Album,Korean,2023-05-08,/images/albums/my_world.jpg,,true,2026-06-21
26,Drama,3,,Mini Album,Korean,2023-11-10,/images/albums/drama.jpg,,true,2026-06-21
27,Armageddon,3,,Studio Album,Korean,2024-05-27,/images/albums/armageddon.jpg,,true,2026-06-21
28,Hot Mess,3,,Single,Japanese,2024-07-03,/images/albums/hot_mess.jpg,,true,2026-06-21
29,SYNK : PARALLEL LINE,3,,Single,Korean,2024-10-09,/images/albums/synk_parallel_line.jpg,,true,2026-06-21
30,Whiplash,3,,Mini Album,Korean,2024-10-21,/images/albums/whiplash.jpg,,true,2026-06-21
31,Dirty Work,3,,Single,Korean,2025-06-27,/images/albums/dirty_work.jpg,,true,2026-06-21
32,Dark Arts,3,,Single,English,2025-07-15,/images/albums/dark_arts.jpg,,true,2026-06-21
33,Rich Man,3,,Mini Album,Korean,2025-09-05,/images/albums/rich_man.jpg,,true,2026-06-21
34,LEMONADE,3,,Studio Album,Korean,2026-05-29,/images/albums/lemonade.jpg,,true,2026-06-21
35,Step Back,4,,Single,Korean,2022-01-03,/images/albums/step_back.jpg,,true,2026-06-21
36,Stamp On It,4,,Mini Album,Korean,2023-01-16,/images/albums/stamp_on_it.jpg,,true,2026-06-21
37,The Story Begins,5,,Mini Album,Korean,2015-10-20,/images/albums/the_story_begins.jpg,,true,2026-06-21
38,PAGE TWO,5,,Mini Album,Korean,2016-04-25,/images/albums/page_two.jpg,,true,2026-06-21
39,TWICEcoaster: LANE 1,5,,Mini Album,Korean,2016-10-24,/images/albums/twicecoaster_lane_1.jpg,,true,2026-06-21
40,TWICEcoaster: LANE 2,5,,Repackage Album,Korean,2017-02-20,/images/albums/twicecoaster_lane_2.jpg,,true,2026-06-21
41,What's TWICE?,5,,Mini Album,Japanese,2017-02-24,/images/albums/whats_twice.jpg,,true,2026-06-21
42,SIGNAL,5,,Mini Album,Korean,2017-05-15,/images/albums/signal.jpg,,true,2026-06-21
43,twicetagram,5,,Studio Album,Korean,2017-10-30,/images/albums/twicetagram.jpg,,true,2026-06-21
44,What is Love?,5,,Mini Album,Korean,2018-04-09,/images/albums/what_is_love.jpg,,true,2026-06-21
45,Summer Nights,5,,Repackage Album,Korean,2018-07-09,/images/albums/summer_nights.jpg,,true,2026-06-21
46,BDZ,5,,Studio Album,Japanese,2018-09-12,/images/albums/bdz.jpg,,true,2026-06-21
47,YES or YES,5,,Mini Album,Korean,2018-11-05,/images/albums/yes_or_yes.jpg,,true,2026-06-21
