group_id,image_path,palette,image_version
1,/images/groups/lesserafim.webp,"{""deep"": ""#0B5C90"", ""secondary"": ""#3B87BC"", ""main"": ""#69B3E7"", ""accent"": ""#B4DAF5"", ""light"": ""#FFFFFF""}",1
2,/images/groups/iz_one.webp,"{""deep"": ""#7C0D4F"", ""secondary"": ""#BF1177"", ""main"": ""#EF539D"", ""accent"": ""#FDA2C4"", ""light"": ""#FEE9EF""}",1
3,/images/groups/aespa.webp,"{""deep"": ""#713589"", ""secondary"": ""#9C60B2"", ""main"": ""#C98BDB"", ""accent"": ""#5BC2E7"", ""light"": ""#C1E8F6""}",1
4,/images/groups/got_the_beat.webp,"{""deep"": ""#0B0C10"", ""secondary"": ""#5E5E5E"", ""main"": ""#C0C0C0"", ""accent"": ""#DFDFDF"", ""light"": ""#FFFFFF""}",1
5,/images/groups/twice.webp,"{""deep"": ""#CF247C"", ""secondary"": ""#FF5FA2"", ""main"": ""#FCC898"", ""accent"": ""#FEE4CB"", ""light"": ""#FFFFFF""}",1
6,/images/groups/misamo.webp,"{""deep"": ""#910556"", ""secondary"": ""#CF247C"", ""main"": ""#FF5FA2"", ""accent"": ""#FCC898"", ""light"": ""#FFFFFF""}",1
7,/images/groups/ive.webp,"{""deep"": ""#16080B"", ""secondary"": ""#6E031A"", ""main"": ""#C8002E"", ""accent"": ""#AEAEAE"", ""light"": ""#F9F6F7""}",1
8,/images/groups/blackpink.webp,"{""deep"": ""#000000"", ""secondary"": ""#4B4B4B"", ""main"": ""#F0B3C6"", ""accent"": ""#F9D9E2"", ""light"": ""#FFFFFF""}",1
9,/images/groups/babymonster.webp,"{""deep"": ""#000000"", ""secondary"": ""#262626"", ""main"": ""#CF0101"", ""accent"": ""#EC6954"", ""light"": ""#FCAC9A""}",1
10,/images/groups/kiss_of_life.webp,"{""deep"": ""#000000"", ""secondary"": ""#1F1F1F"", ""main"": ""#A42732"", ""accent"": ""#CA605E"", ""light"": ""#E59993""}",1
11,/images/groups/young_posse.webp,"{""deep"": ""#76A00F"", ""secondary"": ""#A0CE27"", ""main"": ""#CCFF00"", ""accent"": ""#E8FFB7"", ""light"": ""#FFFFFF""}",1
